model,dataset,ablation,seed,variant,block_len,n_windows,test_stride,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
Informer,jena,full,3,none,16,2782,5,3.5662240982055664,5.781706809997559,3.291792631149292,3.991908311843872,7.521903991699219,10.164523124694824,2.5964999198913574,3.602060556411743,0.8547002077102661,1.2185331583023071
Informer,jena,full,3,A_end,16,2782,5,5.579024314880371,8.876938819885254,4.325107097625732,5.355979919433594,12.300688743591309,15.751032829284668,4.598325729370117,6.0110297203063965,1.0919768810272217,1.5119924545288086
Informer,jena,full,3,B_start,16,2782,5,3.644702434539795,5.834213733673096,3.317265510559082,4.022127628326416,7.711545467376709,10.231345176696776,2.685148000717163,3.710132598876953,0.8648494482040405,1.2365976572036743
Informer,jena,full,4,none,16,2782,5,3.412683486938477,5.557662487030029,2.823208808898926,3.5042564868927,7.381959915161133,9.841089248657228,2.599970817565918,3.597806215286255,0.8455951809883118,1.2163022756576538
Informer,jena,full,4,A_end,16,2782,5,5.522222995758057,8.851036071777344,3.9592642784118657,4.95793342590332,12.209383964538574,15.731439590454102,4.814205646514893,6.238877773284912,1.1060394048690796,1.5428615808486938
Informer,jena,full,4,B_start,16,2782,5,3.5787267684936523,5.8107380867004395,2.900333881378174,3.5825562477111816,7.828376293182373,10.333083152770996,2.722945213317871,3.7282776832580566,0.8632506728172302,1.2455158233642578
LSTM,jena,full,0,none,16,2782,5,3.383465528488159,5.577944278717041,2.498152494430542,3.179598331451416,7.623429298400879,10.000377655029297,2.531200408935547,3.5668675899505615,0.8810797333717346,1.2703943252563477
LSTM,jena,full,0,A_end,16,2782,5,5.651977062225342,9.115035057067873,4.088168144226074,5.2345709800720215,12.77830982208252,16.325868606567383,4.561526775360107,5.976836204528809,1.179906129837036,1.636508226394653
LSTM,jena,full,0,B_start,16,2782,5,3.4237139225006104,5.651993274688721,2.5006918907165527,3.1850874423980713,7.760805606842041,10.158472061157228,2.544609308242798,3.578218698501587,0.8887494802474976,1.2795066833496094
LSTM,jena,full,1,none,16,2782,5,3.344972610473633,5.55753231048584,2.5669634342193604,3.2722043991088867,7.553015232086182,9.978781700134276,2.379814386367798,3.415269374847412,0.8800959587097168,1.2638053894042969
LSTM,jena,full,1,A_end,16,2782,5,5.837355136871338,9.389892578125,4.449768543243408,5.675635814666748,13.139644622802734,16.793642044067383,4.554502010345459,5.973471641540527,1.2055031061172483,1.6609097719192505
LSTM,jena,full,1,B_start,16,2782,5,3.379127264022827,5.616339206695557,2.5606889724731445,3.264689683914185,7.673218250274658,10.106403350830078,2.3961024284362793,3.4287772178649902,0.8864988088607788,1.2723772525787354
LSTM,jena,full,2,none,16,2782,5,3.3357560634613037,5.572638988494873,2.301454782485962,2.9633049964904785,7.670677661895752,10.06702709197998,2.480809211730957,3.53299617767334,0.8900831341743469,1.2684451341629028
LSTM,jena,full,2,A_end,16,2782,5,5.764745235443115,9.382301330566406,4.098978519439697,5.264904499053955,13.203883171081545,16.901592254638672,4.5789794921875,6.006909370422363,1.1771414279937744,1.626107096672058
LSTM,jena,full,2,B_start,16,2782,5,3.376988649368286,5.64099645614624,2.315981864929199,2.973201274871826,7.8029046058654785,10.21264362335205,2.493049144744873,3.5375826358795166,0.8960185647010803,1.2770475149154663
LSTM,jena,full,3,none,16,2782,5,3.376150369644165,5.568910598754883,2.460145950317383,3.129929780960083,7.627804756164551,9.994288444519045,2.5292093753814697,3.573380470275879,0.8874413371086121,1.2648191452026367
LSTM,jena,full,3,A_end,16,2782,5,5.725832939147949,9.2402925491333,4.138063430786133,5.283775329589844,13.000568389892578,16.59355354309082,4.5634765625,5.961643218994141,1.2012248039245603,1.6512250900268557
LSTM,jena,full,3,B_start,16,2782,5,3.422426223754883,5.653941631317139,2.462397575378418,3.1327216625213623,7.801259517669678,10.181272506713867,2.532313346862793,3.573868751525879,0.8937335014343262,1.2741358280181885
LSTM,jena,full,4,none,16,2782,5,3.344326972961426,5.535584926605225,2.483104944229126,3.1645700931549072,7.57427167892456,9.941838264465332,2.4339253902435303,3.481034994125366,0.8860058784484863,1.2643312215805054
LSTM,jena,full,4,A_end,16,2782,5,5.706456184387207,9.20251178741455,4.220950126647949,5.370279312133789,12.866803169250488,16.48237419128418,4.55132532119751,5.963522911071777,1.1867446899414062,1.6348631381988523
LSTM,jena,full,4,B_start,16,2782,5,3.3791966438293457,5.596395492553711,2.477408647537231,3.1570394039154053,7.679323196411133,10.069217681884766,2.4658901691436768,3.5074849128723145,0.8941643834114075,1.2728166580200195
